Name,Covering,Drying_Temp,Mold_Substrate,Film#,OTR_mean,OTR_std,OP_mean,OP_std,WVTR_mean,WVTR_std,N_WVTR_mean,N_WVTR_std,Thickness_mean,Thickness_std
1:3 CNC/ChNF-H,1.0,23.0,ps,2,11.65,1.48,3.88,0.54,4256.67,241.11,127.67,7.02,31.57,1.99
1:3 CNC/ChNF-L,1.0,23.0,ps,2,1.31,0.07,0.62,0.04,2000.0,43.2,82.25,1.71,42.9,3.07
1:3 CNC/ChNF-M,1.0,23.0,ps,2,1.98,0.56,0.76,0.21,2260.0,54.31,80.4,4.16,36.57,2.44
1:3 CNC/ChNF-M-120-3,1.0,23.0,ps,2,2.68,0.0,1.0,0.0,2015.0,7.07,68.5,0.71,35.67,2.89
1:3 CNC/ChNF-M/Ca,1.0,23.0,ps,2,5.64,0.24,2.33,0.06,3755.0,127.15,144.75,3.86,40.0,1.91
1:3 CNC/Chitosan,1.0,23.0,ps,2,3.23,2.05,1.63,1.01,2320.0,0.0,116.0,0.0,51.57,1.51
2:1 CNC/ChNC-CS,0.0,23.0,ps,1,7.3,0.0,4.4,0.0,3750.0,0.0,230.0,0.0,61.0,0.0
2:1 CNC/ChNF-CP,1.0,23.0,glass,1,18.9,5.37,8.6,1.98,8355.0,134.35,390.0,14.14,46.5,1.73
2:1 CNC/ChNF-CP-100-3,1.0,23.0,glass,1,11.76,5.71,5.2,2.55,6680.0,0.0,300.0,0.0,45.0,0.0
2:1 CNC/ChNF-CP-2,1.0,23.0,ps,1,3.84,0.16,1.55,0.07,2616.67,135.03,106.67,5.77,41.0,0.0
2:1 CNC/ChNF-CS,1.0,23.0,glass,1,35.25,16.98,14.7,6.17,8250.0,0.0,340.0,0.0,43.0,2.74
3:1 CNC/ChNF-CP-2/Ca,1.0,23.0,ps,2,7.49,0.0,2.4,0.0,4030.0,56.57,130.0,0.0,32.25,0.96
3:1 CNC/ChNF-EL,1.0,23.0,ps,4,1.63,0.53,0.49,0.17,2080.0,98.49,68.0,12.53,30.92,3.09
3:1 CNC/ChNF-H,1.0,23.0,ps,2,9.22,1.82,3.75,0.78,3435.0,261.63,142.5,13.44,41.38,0.52
3:1 CNC/ChNF-L,1.0,23.0,ps,2,2.41,0.42,0.78,0.15,2520.0,110.45,76.75,4.92,31.17,1.17
3:1 CNC/ChNF-M,1.0,23.0,ps,3,3.27,1.12,1.08,0.38,3223.67,161.92,103.0,5.93,32.94,0.94
3:1 CNC/ChNF-M/Ca,1.0,23.0,ps,3,8.5,1.97,2.65,0.43,3381.11,120.36,103.22,7.61,30.62,1.61
3:1 CNC/ChNF-M/Ca-120-3,1.0,23.0,ps,2,10.09,1.42,3.37,0.49,2506.67,40.41,72.67,1.15,31.5,2.74
3:1 CNC/Chitosan,1.0,23.0,ps,1,5.32,1.36,2.0,0.28,2250.0,0.0,79.0,0.0,37.8,3.83
CNC,0.0,23.0,ps,2,7.1,0.0,9.4,0.0,1915.0,756.6,180.0,14.14,94.4,36.15
CNC,1.0,23.0,glass,1,5.3,0.0,5.0,0.0,1800.0,0.0,171.0,0.0,95.0,0.0
CNC,1.0,23.0,ps,1,20.3,0.0,11.6,0.0,1560.0,0.0,90.0,0.0,58.0,0.0
CNC/PLA,0.0,50.0,PLA,4,491.91,449.64,97.68,90.43,587.0,0.0,15.0,0.0,27.83,13.8
ChNC-CP,1.0,23.0,glass,1,54.8,0.0,15.0,0.0,9835.0,1506.14,265.0,35.36,27.0,0.0
ChNF-CP,1.0,23.0,glass,1,42.42,9.02,12.0,2.76,2180.0,0.0,63.0,0.0,29.58,2.02
ChNF-CP,1.0,23.0,ps,1,27.75,4.31,9.9,1.56,6500.0,0.0,230.0,0.0,36.0,0.0
ChNF-CP-100-3,1.0,23.0,glass,3,40.12,14.71,11.58,4.29,8760.0,975.81,250.0,28.28,29.0,0.0
ChNF-CP-2,1.0,23.0,glass,1,4.12,2.79,1.42,0.96,3280.0,0.0,110.0,0.0,35.0,0.0
ChNF-CP-2,1.0,23.0,ps,1,10.85,4.74,3.5,1.56,2670.0,0.0,88.0,0.0,33.0,0.0
ChNF-CS,0.0,23.0,ps,3,71.0,60.91,27.0,16.27,4715.0,63.64,259.5,55.86,47.0,10.19
ChNF-CS,1.0,23.0,glass,1,57.27,16.31,20.33,7.77,9510.0,0.0,320.0,0.0,35.25,2.5
ChNF-CS,1.0,23.0,ps,1,54.5,0.0,22.0,0.0,8470.0,0.0,340.0,0.0,40.0,0.0
ChNF-EL,1.0,23.0,ps,2,4.36,0.0,1.8,0.0,2120.0,0.0,51.0,0.0,31.8,8.85
ChNF-EL/PLA,0.0,50.0,PLA,1,67.2,0.0,24.0,0.0,158.0,0.0,5.7,0.0,36.0,0.0
ChNF-H,1.0,23.0,ps,3,38.9,9.76,13.5,3.54,4680.0,834.39,158.5,44.55,33.22,2.22
ChNF-L,1.0,23.0,ps,2,1.88,0.26,0.66,0.08,2185.0,51.96,77.75,5.56,35.5,1.38
ChNF-L/PLA,0.0,50.0,PLA,1,4.83,0.0,1.0,0.0,292.0,0.0,6.4,0.0,22.0,0.0
ChNF-M,1.0,23.0,ps,2,2.42,0.66,0.76,0.22,2565.0,35.36,66.5,0.71,28.75,3.2
Chitosan,1.0,23.0,ps,2,2.14,0.6,1.14,0.2,2515.0,77.78,128.5,3.54,52.29,4.75
Earthfirst PLA,0.0,23.0,none,1,408.5,16.26,137.0,5.66,188.0,4.24,6.4,0.14,34.0,0.0
PLA,0.0,23.0,none,1,765.0,0.0,151.0,0.0,312.0,0.0,6.2,0.0,20.0,0.0
TOCN-COOCa,1.0,40.0,glass,2,3.62,0.0,0.68,0.0,2880.0,84.85,86.5,2.12,26.33,6.35
TOCN-COONa,1.0,40.0,glass,2,1.75,0.0,0.38,0.0,3985.0,282.19,90.5,12.26,21.71,4.15
